"","1","0.154197787136655","0.144392471213746","0.125615685727489","0.120779047109855","0.111625698554698","0.0827127283367152","0.0810257795500833","0.0746902151837431","0.0710215219863712","0.0646409017990686","0.0596785883254022","0.0573526133435751","0.0542087155963303","0.0533031151901773","0.046766940620639","0.0467589115487811","0.0460573422534478","0.0457650614686038","0.0435105263902623","0.0389729024666567","0.0382492994481062","0.0340427473418373","0.0297487478316522","0.0290304714672626","0.0252856510888788","0.0244415470452069","0.0243677071199376","0.0215915005767584","0.0204255319148936","0.0183752579232851","0.0168395832252621","0.015699965954524","0.0151503122316921","0.0143137343565938","0.0140690719551957","0.013043136767525","0.0127678349686195","0.00988987187817597","0.00928772632447084","0.00893617021276596","0.00764946468625123","0.0072888393918775","0.00673367259169455","0.00638844390589669","0.00572265504552775","0.00492834673191192","0.00369611829500477","0.00363388196524241","0.00330079142603606","0.00214128535801448","0.00200139025979509","0.00179340850751742","0.00149250257491881","0.00139008138064628","0.00111881749224714","0.000628510925795338","0.000571515621988308","0.000445717142134777","0.000400731110567145","0.000233853006681514","0.000110674853569341","7.68393266023137e-05","2.52089904847321e-05","1.76092110363817e-05","8.7364745556879e-06","3.20768939034778e-06","2.14855360157522e-06"
"06001",1,1,1,1,1,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,30,29,28,27,26,25,25,24,24,23,26,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,12,12,11,10,9,9,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06003",2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,12,11,10,9,8,7,6,6,5,4,3,2,1
"06005",3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,24,24,23,23,22,22,21,20,19,18,17,16,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06007",4,4,4,4,4,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,24,23,22,21,20,19,18,17,16,15,14,13,13,12,11,10,10,9,8,8,10,9,8,7,6,6,5,4,3,2,1
"06009",5,5,5,5,5,4,4,4,4,4,4,37,36,35,34,33,33,32,31,31,30,30,29,28,27,26,25,24,24,23,23,22,22,21,20,19,18,17,16,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"32510",6,6,6,6,6,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,12,11,10,9,8,7,6,6,5,4,3,2,1
"32003",7,7,7,7,7,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1
"06011",8,8,8,8,8,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,4,3,2,1
"06013",9,9,9,9,9,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,30,29,28,27,26,25,25,24,24,23,26,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,12,12,11,10,9,9,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"41015",10,10,10,10,10,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,3,2,1
"06015",11,11,11,11,11,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,3,2,1
"32005",12,12,12,12,12,11,11,11,11,11,11,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,12,11,10,9,8,7,6,6,5,4,3,2,1
"06017",13,13,13,13,13,12,12,12,37,36,35,34,33,32,31,30,30,29,48,47,46,45,44,43,42,41,40,39,38,37,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,4,3,2,1
"06019",14,14,14,14,14,13,13,23,22,22,21,20,20,19,19,19,19,19,19,19,19,19,18,18,17,16,15,15,15,14,14,13,13,13,13,28,27,26,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,11,10,9,9,8,10,9,8,7,6,5,4,3,2,1
