"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68"
"06001",1,1,1,1,1,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,30,29,28,27,26,25,25,24,24,23,26,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,12,12,11,10,9,9,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06003",2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,12,11,10,9,8,7,6,6,5,4,3,2,1
"06005",3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,24,24,23,23,22,22,21,20,19,18,17,16,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"06007",4,4,4,4,4,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,24,23,22,21,20,19,18,17,16,15,14,13,13,12,11,10,10,9,8,8,10,9,8,7,6,6,5,4,3,2,1
"06009",5,5,5,5,5,4,4,4,4,4,4,37,36,35,34,33,33,32,31,31,30,30,29,28,27,26,25,24,24,23,23,22,22,21,20,19,18,17,16,25,24,23,22,21,20,19,18,17,16,16,15,14,13,12,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"32510",6,6,6,6,6,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,12,11,10,9,8,7,6,6,5,4,3,2,1
"32003",7,7,7,7,7,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2,1
"06011",8,8,8,8,8,7,7,7,7,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,4,3,2,1
"06013",9,9,9,9,9,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,30,29,28,27,26,25,25,24,24,23,26,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,12,12,11,10,9,9,11,10,10,9,8,8,7,6,6,5,4,3,2,1
"41015",10,10,10,10,10,9,9,9,9,9,9,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,3,2,1
"06015",11,11,11,11,11,10,10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,3,2,1
"32005",12,12,12,12,12,11,11,11,11,11,11,10,10,9,9,9,9,9,9,9,9,9,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,12,11,10,9,8,7,6,6,5,4,3,2,1
"06017",13,13,13,13,13,12,12,12,37,36,35,34,33,32,31,30,30,29,48,47,46,45,44,43,42,41,40,39,38,37,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,6,5,4,3,2,1
"06019",14,14,14,14,14,13,13,23,22,22,21,20,20,19,19,19,19,19,19,19,19,19,18,18,17,16,15,15,15,14,14,13,13,13,13,28,27,26,25,24,23,22,21,20,19,18,17,16,15,15,14,13,12,11,10,9,9,8,10,9,8,7,6,5,4,3,2,1
"06021",15,15,15,15,15,14,14,13,12,12,12,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,8,8,8,7,7,7,7,7,7,7,7,24,23,22,21,20,19,18,17,16,15,14,13,13,12,11,10,10,9,8,8,10,9,8,7,6,6,5,4,3,2,1
"06023",16,16,16,16,16,15,15,14,13,13,13,12,12,11,11,11,11,11,11,11,11,11,10,10,10,10,9,9,9,8,8,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,14,13,12,11,10,9,8,8,10,9,8,7,6,6,5,4,3,2,1
"06025",17,17,17,17,17,16,16,15,14,14,14,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,10,10,10,9,9,8,8,8,8,8,8,7,7,7,6,6,5,5,5,5,4,4,4,4,4,4,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
